154.jpg,154,Landscape at Llanaelhaearn,1947,1947,
258.jpg,258,"Snowdon, the Traeth and the Frightened Horse",1948,1948,
155.jpg,155,Landscape with Cattle,c.1950,1950,
286.jpg,286,The Dark Lake,1951,1951,
288.jpg,288,The Moelwyns from Aberglasyn,c.1952,1952,
238.jpg,238,Self Portrait,c.1953,1953,*
051.jpg,51,"Cottages, Llanddona",c.1955,1955,
185.jpg,185,Mountain Landscape,1957,1957,
023.jpg,23,Capel Carmel,c.1958,1958,
246.jpg,246,Snow above Beddgelert,c.1959,1959,
206.jpg,206,Nant Ffrancon from Llandegfan,c.1960,1960,
260.jpg,260,Snowstorm off Penmon,1961,1961,
053.jpg,53,"Cottages, Mynydd Bodafon",c.1962,1962,
120.jpg,120,German Girl,c.1963,1963,*
243.jpg,243,Sir David Hughes Parry,1964,1964,*
242.jpg,242,Sir Charles Evans ,c.1965,1965,*
087.jpg,87,Farm below Crib Goch,1967,1967,
248.jpg,248,Snow on Siabod,c.1968,1968,
158.jpg,158,"Lle Cul, Patagonia",1969,1969,
073.jpg,73,"Deserted Farm, Llanrhuddlad",c.1970,1970,
275.jpg,275,Sun and Cloud on Lliwedd ,1973,1973,
093.jpg,93,"Farm, Llanfairynghornwy",c.1975,1975,
018.jpg,18,Blaen Nant,1976,1976,
237.jpg,237,Sea at Trearddur,c.1976,1976,
017.jpg,17,Blaen Ffrancon No.1,c.1978,1978,
107.jpg,107,Farmers on the Carneddau,c.1980,1980,
105.jpg,105,Farmer below the Ridge,c.1983,1983,
202.jpg,202,Mrs Rowlands,c.1984,1984,
003.jpg,3,"Above Carneddi, No.2",c.1985,1985,
264.jpg,264,Storm at Trearddur,1987,1987,
165.jpg,165,"Llyn-y-Cau, Cader Idris",c.1990,1990,
267.jpg,267,"Storm, Porth Cwyfan",1995,1995,
268.jpg,268,"Storm, Trearddur",1996,1996,
214.jpg,214,Pengwyryd,c.1999,1999,
020.jpg,20,Bryn Cader Faner,2000,2000,
278.jpg,278,"Sunset, Anglesey",2004,2004,
